Tanggal,Nama Pelanggan,Harga,Status,Status Pembayaran,Tipe Perjalanan,Length,Recency,Frequency,Monetary
2022-08-24,PHE,0.1858974358974359,DEAL,LUNAS,Drop,0.3340365682137834,0.3459915611814346,0.025974025974025972,0.037139807897545354
2022-08-25,CAA,0.10544871794871795,DEAL,LUNAS,PP,0.33333333333333337,0.34528832630098455,0.0,0.007022411953041622
2022-08-25,PMr,0.30128205128205127,DEAL,LUNAS,PP,0.33333333333333337,0.34528832630098455,0.012987012987012988,0.046531483457844185
2022-08-25,RVg,0.125,DEAL,LUNAS,PP,0.33333333333333337,0.20464135021097046,0.05194805194805195,0.09541088580576307
2022-08-26,OGz,0.10576923076923077,DEAL,LUNAS,PP,0.33263009845288327,0.2967651195499297,0.012987012987012988,0.012379935965848453
2022-08-26,SP4,0.07371794871794872,DEAL,LUNAS,PP,0.33263009845288327,0.14275668073136427,0.05194805194805195,0.03607257203842049
2022-08-29,F/D,0.1858974358974359,DEAL,LUNAS,PP,0.3305203938115331,0.34247538677918427,0.0,0.012379935965848453
2022-08-29,PRi,0.1858974358974359,DEAL,LUNAS,PP,0.3305203938115331,0.14978902953586498,0.012987012987012988,0.021771611526147278
2022-08-30,BFx,0.4230769230769231,DEAL,LUNAS,PP,0.329817158931083,0.34177215189873417,0.0,0.028175026680896477
2022-08-31,BAs,0.1955128205128205,DEAL,LUNAS,PP,0.32911392405063294,0.15049226441631505,0.03896103896103896,0.05293489861259338
2022-08-31,BFt,0.1794871794871795,DEAL,LUNAS,PP,0.32911392405063294,0.3410689170182841,0.0,0.011953041622198506
2022-08-31,IRn,0.19230769230769232,DEAL,LUNAS,PP,0.32911392405063294,0.3410689170182841,0.0,0.012806830309498399
2022-09-02,DPc,0.1794871794871795,DEAL,LUNAS,PP,0.3277074542897328,0.339662447257384,0.0,0.011953041622198506
2022-09-03,IFy,0.08333333333333334,DEAL,LUNAS,PP,0.3270042194092827,0.07172995780590717,0.025974025974025972,0.030096051227321237
2022-09-03,BF2,0.44871794871794873,DEAL,LUNAS,PP,0.3270042194092827,0.3389592123769339,0.0,0.029882604055496264
2022-09-03,GHY,0.1762820512820513,DEAL,LUNAS,PP,0.3270042194092827,0.0042194092827004225,0.012987012987012988,0.022198505869797224
2022-09-05,KCa,0.4551282051282051,DEAL,LUNAS,PP,0.32559774964838256,0.33755274261603374,0.0,0.03030949839914621
2022-09-06,SLB,0.1826923076923077,DEAL,LUNAS,PP,0.3248945147679325,0.3368495077355837,0.025974025974025972,0.03649946638207044
2022-09-09,BLn,0.20833333333333334,DEAL,LUNAS,PP,0.3227848101265823,0.33473980309423346,0.0,0.013874066168623266
2022-09-09,LTi,0.14743589743589744,DEAL,LUNAS,PP,0.3227848101265823,0.33473980309423346,0.0,0.009818569903948773
2022-09-10,ITn,0.20192307692307693,DEAL,LUNAS,PP,0.32208157524613223,0.3340365682137834,0.0,0.01344717182497332
2022-09-12,S19,0.20192307692307693,DEAL,LUNAS,PP,0.3206751054852321,0.33263009845288327,0.07792207792207792,0.09156883671291355
2022-09-13,IM),0.07051282051282051,DEAL,LUNAS,PP,0.319971870604782,0.3319268635724332,0.03896103896103896,0.01878335112059765
2022-09-14,IIi,0.28205128205128205,DEAL,LUNAS,PP,0.31926863572433195,0.0710267229254571,0.07792207792207792,0.08900747065101387
2022-09-15,PK7,0.1955128205128205,DEAL,LUNAS,PP,0.31856540084388185,0.33052039381153303,0.0,0.013020277481323372
2022-09-19,BAr,0.13782051282051283,DEAL,LUNAS,PP,0.3157524613220816,0.26722925457102675,0.025974025974025972,0.03351120597652081
2022-09-19,IKn,0.1955128205128205,DEAL,LUNAS,PP,0.3157524613220816,0.3277074542897328,0.0,0.013020277481323372
2022-09-19,BJo,0.35512820512820514,DEAL,LUNAS,PP,0.3157524613220816,0.3277074542897328,0.012987012987012988,0.04729989327641409
2022-09-19,PCs,0.38461538461538464,DEAL,LUNAS,PP,0.3157524613220816,0.3277074542897328,0.0,0.025613660618996798
